Date,Open,High,Low,Close,Volume
16-Oct-15,664.11,664.97,657.2,662.2,1606138
15-Oct-15,654.66,663.13,654.46,661.74,1830524
14-Oct-15,653.21,659.39,648.85,651.16,1412040
13-Oct-15,643.15,657.81,643.15,652.3,1790704
12-Oct-15,642.09,648.5,639.01,646.67,1275206
9-Oct-15,640,645.99,635.32,643.61,1645844
8-Oct-15,641.36,644.45,625.56,639.16,2180441
7-Oct-15,649.24,650.61,632.15,642.36,2089776
6-Oct-15,638.84,649.25,636.53,645.44,2166264
5-Oct-15,632,643.01,627,641.47,1787880
2-Oct-15,607.2,627.34,603.13,626.91,2684805
1-Oct-15,608.37,612.09,599.85,611.29,1867601
30-Sep-15,603.28,608.76,600.73,608.42,2413441
29-Sep-15,597.28,605,590.22,594.97,2310284
28-Sep-15,610.34,614.6,589.38,594.89,3127667
25-Sep-15,629.77,629.77,611,611.97,2174009
24-Sep-15,616.64,627.32,612.4,625.8,2240098
23-Sep-15,622.05,628.93,620,622.36,1470949
22-Sep-15,627,627.55,615.43,622.69,2562869
21-Sep-15,634.4,636.49,625.94,635.44,1788506
18-Sep-15,636.79,640,627.02,629.25,5133386
17-Sep-15,637.79,650.9,635.02,642.9,2274690
16-Sep-15,635.47,637.95,632.32,635.98,1286454
15-Sep-15,626.7,638.7,623.78,635.14,2084397
14-Sep-15,625.7,625.86,619.43,623.24,1702271
11-Sep-15,619.75,625.78,617.42,625.77,1373545
10-Sep-15,613.1,624.16,611.43,621.35,1900526
9-Sep-15,621.22,626.52,609.6,612.72,1702094
8-Sep-15,612.49,616.31,604.12,614.66,2279538
4-Sep-15,600,603.47,595.25,600.7,2089453
3-Sep-15,617,619.71,602.82,606.25,1759572
2-Sep-15,605.59,614.34,599.71,614.34,2575620
1-Sep-15,602.36,612.86,594.1,597.79,3702105
31-Aug-15,627.54,635.8,617.68,618.25,2176737
28-Aug-15,632.82,636.88,624.56,630.38,1978733
27-Aug-15,639.4,643.59,622,637.61,3491336
26-Aug-15,610.35,631.71,599.05,628.62,4235891
25-Aug-15,614.91,617.45,581.11,582.06,3537966
24-Aug-15,573,614,565.05,589.61,5770302
