Store Number,City,Zip Code,County,2015 Total Bottles Sold,2015 Average Margin Ratio,2015 Average Sale (Dollars),2015 Total Sales (Dollars),2015 Total Transactions,2015 Average Volume per Sale (Liters),2015 Total Volume Sold (Liters),2015 DaysOpen,2015 Average Price per Bottle (Dollars),2015 Average Price per Liter (Dollars),2015 Average Margin,2015 Average Sales per Day,Q1_15 Total Bottles Sold,Q1_15 Average Margin Ratio,Q1_15 Average Sale (Dollars),Q1_15 Total Sales (Dollars),Q1_15 Total Transactions,Q1_15 Average Volume per Sale (Liters),Q1_15 Total Volume Sold (Liters),Q1_15 DaysOpen,Q1_15 Average Price per Bottle (Dollars),Q1_15 Average Price per Liter (Dollars),Q1_15 Average Margin,Q1_15 Average Sales per Day,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2498,ARLINGTON,50606,Fayette,2840,0.334805561545,42.1706144393,27453.07,651,3.94522273425,2568.34,23,10.4866973886,13.0628339185,14.1447926267,75.213890411,612,0.334776145422,41.9369172932,5577.61,133,3.98601503759,530.14,5,10.2360150376,12.8542937701,14.1087218045,61.2924175824,666,0.334069686568,41.6193464052,6367.76,153,3.62947712418,555.31,5,10.7038562092,13.9055477747,13.9205882353,69.9753846154
2500,AMES,50010,Story,98530,0.334456237794,108.903473439,1355085.92,12443,7.36958530901,91699.75,55,15.184503737,18.9650910135,36.4085284899,3712.56416438,22993,0.334520827593,105.346809378,310035.66,2943,7.26915392457,21393.12,12,15.0944206592,18.7979629635,35.2177743799,3406.98527473,23561,0.333878852328,96.7819194591,329252.09,3402,6.27610523222,21351.31,13,15.1283274544,18.8194662614,32.296984127,3618.15483516
2501,AMES,50010,Story,102095,0.334750155419,108.078864653,1377465.13,12745,7.34350882699,93593.02,52,15.5910074539,19.5971989296,36.1718619066,3773.87706849,22684,0.334845654067,106.849453232,310718.21,2908,7.28787826685,21193.15,12,15.3776719395,19.3379988701,35.7823796424,3414.48582418,25170,0.334061277232,113.372846442,332976.05,2937,7.78824310521,22874.07,13,15.5439938713,19.4290357832,37.8563976847,3659.07747253
2502,ANKENY,50021,Polk,92638,0.334587843069,178.745150449,1372226.52,7677,12.3500273544,94811.16,59,16.5588706526,19.9641930282,59.8934779211,3759.52471233,17545,0.334348227957,160.325785227,258284.84,1611,11.2663749224,18150.13,13,16.0455493482,19.3114434247,53.7660397269,2838.29494505,16385,0.333835185899,131.537525196,234926.02,1786,9.34623180291,16692.37,14,16.5182026876,19.694316769,43.9750447928,2581.60461538
2505,BOONE,50036,Boone,48908,0.334185912999,110.749191732,659068.44,5951,8.41791967737,50095.04,57,14.0076306503,17.0386009074,37.1085548647,1805.6669589,11212,0.334620447209,113.330596677,150049.71,1324,8.69610271903,11513.64,12,13.549652568,16.3466326682,37.9855664653,1648.89791209,11128,0.333829006574,107.907990057,151934.45,1408,8.16194602273,11492.02,20,14.0122372159,16.669499513,36.1157173295,1669.60934066
2506,BURLINGTON,52601,Des Moines,94292,0.33411612086,156.883355675,1427795.42,9101,10.2608361718,93383.87,54,16.6826931106,19.5405353916,52.4055916932,3911.76827397,20596,0.334172270625,152.496630542,309568.16,2030,10.2158719212,20738.22,13,16.57308867,19.2095376209,50.9449950739,3401.84791209,21153,0.333835664943,145.469624826,314068.92,2159,9.62838814266,20787.69,13,16.1135618342,18.6809445407,48.5485687818,3451.30681319
2507,BURLINGTON,52601,Des Moines,29811,0.334020567187,91.8658458704,299207.06,3257,7.82435369972,25483.92,50,11.6494565551,14.4599166734,30.681099171,819.745369863,6606,0.33384747296,83.2936340852,66468.32,798,7.16409774436,5716.95,12,11.4778696742,14.2524477568,27.7980701754,730.421098901,6176,0.333601973246,105.362044293,61847.52,587,8.65212947189,5078.8,13,12.2909369676,15.0303494664,35.1446678024,679.643076923
2508,CEDAR RAPIDS,52405,Linn,77480,0.33422658694,144.029823674,1110902.03,7713,10.3314300532,79686.32,53,15.3368818877,18.4856671385,48.1333683392,3043.56720548,22534,0.334281390615,173.763216406,321983.24,1853,12.6988828926,23531.03,13,15.9999352402,18.5527115761,58.0531732326,3538.27736264,13533,0.333859845155,140.250874656,203644.27,1452,9.40460743802,13655.49,14,21.6877548209,26.4668757897,46.7928787879,2237.84912088
2509,CEDAR RAPIDS,52404,Linn,46749,0.334528681714,142.498988447,555033.56,3895,12.5284878049,48798.46,52,13.5082901155,15.3241951608,47.7406803594,1520.63989041,10378,0.334576938929,124.763639309,115531.13,926,11.2247948164,10394.16,13,13.4072462203,15.1545197023,41.7596220302,1269.57285714,10295,0.333991688865,136.309570011,123632.78,907,11.8154796031,10716.64,13,13.5662513782,15.6066270013,45.6678941566,1358.60197802
2512,IOWA CITY,52240,Johnson,282801,0.334222924376,291.202105816,4155454.05,14270,18.7447505256,267487.59,104,16.2479901892,19.6143464331,97.2243398739,11384.8056164,62904,0.334294336146,255.150539648,926706.76,3632,16.135027533,58602.42,25,16.2717263216,19.6339451178,85.2007654185,10183.5907692,74069,0.333728662516,284.82291949,1050711.75,3689,19.0030902684,70102.4,26,19.0438872323,20.6343612945,95.0039550014,11546.282967
