Store Number,City,Zip Code,County,2015 Total Bottles Sold,2015 Average Margin Ratio,2015 Average Sale (Dollars),2015 Total Sales (Dollars),2015 Total Transactions,2015 Average Volume per Sale (Liters),2015 Total Volume Sold (Liters),2015 DaysOpen,2015 Average Price per Bottle (Dollars),2015 Average Price per Liter (Dollars),2015 Average Margin,2015 Average Sales per Day
2554,DAVENPORT,52802,Scott,22112,0.334624511182,119.675353749,226665.12,1894,11.1293822598,21079.05,50,11.6741341077,11.7317312817,40.0093030623,621.000328767
2555,KEOKUK,52632,Lee,52276,0.334004126269,136.564184205,707265.91,5179,9.34847653987,48415.76,53,14.7685190191,18.0717866968,45.5890982815,1937.71482192
2556,ESTHERVILLE,51334,Emmet,28219,0.334358897329,84.4722528595,413576.15,4896,6.31088643791,30898.1,53,15.7000183824,18.2204661048,28.2592197712,1133.08534247
2558,MOUNT PLEASANT,52641,Henry,49881,0.334330453099,164.894114583,696512.74,4224,11.6256060606,49106.56,51,15.8693158144,18.1261096155,55.1925378788,1908.25408219
2559,ALBIA,52531,Monroe,8345,0.33475452246,86.8601716069,111354.74,1282,6.65440717629,8530.95,46,14.6132527301,16.3551482059,29.106349454,305.081479452
2560,MARION,52302,Linn,68082,0.334434029539,117.002107723,1001421.04,8559,7.93041476808,67876.42,52,16.5991459283,18.4001439031,39.1116473887,2743.61928767
2561,DES MOINES,50321,Polk,94180,0.334385915226,139.773023553,1424287.11,10190,9.003562316,91746.3,55,16.4324906771,21.3237051338,46.7565544652,3902.15646575
2562,FORT DODGE,50501,Webster,28530,0.335385179502,170.439056021,386385.34,2267,14.4394353772,32734.2,52,13.8468416409,13.82515175,57.2886237318,1058.5899726
2564,WATERLOO,50701,Black Hawk,34629,0.334508305764,138.229245835,472882.25,3421,11.0115404852,37670.48,51,14.4653990061,15.7827455447,46.2992604502,1295.56780822
2565,SPENCER,51301,Clay,56691,0.334396575611,76.3522215634,772608.13,10119,5.72389564186,57920.1,52,15.0278802253,18.4579088249,25.5950192707,2116.73460274
2566,KNOXVILLE,50138,Marion,26894,0.33406533127,109.627445122,359578.02,3280,7.77732012195,25509.61,51,13.5231737805,17.9971094997,36.7157591463,985.145260274
2567,DAVENPORT,52806,Scott,38950,0.334743575033,59.7275756405,463904.08,7767,4.75918372602,36964.58,51,12.4888760139,15.4103840221,20.0006463242,1270.97008219
2568,CEDAR RAPIDS,52402,Linn,31205,0.334425499139,87.0089628241,278515.69,3201,7.78586691659,24922.56,52,12.0634989066,15.0581161902,29.0692439863,763.056684932
2569,CEDAR RAPIDS,52402,Linn,32149,0.334791291922,67.8866567724,434542.49,6401,5.03499140759,32228.98,52,14.7749179816,16.9281007088,22.7097016091,1190.52736986
2571,WATERLOO,50703,Black Hawk,68699,0.334498942013,176.222497409,850273.55,4825,11.6845098446,56377.76,52,15.2867564767,17.4301873133,58.9404393782,2329.51657534
2572,CEDAR FALLS,50613,Black Hawk,70704,0.334640633257,77.0135522388,1031981.6,13400,5.14772910448,68979.57,52,15.0464149254,18.8054601418,25.7666753731,2827.34684932
2573,MUSCATINE,52761,Muscatine,83544,0.334580895832,147.04209412,1277942.84,8691,10.0860303763,87657.69,54,17.0967552641,20.2040042338,49.1620319871,3501.21326027
2575,WATERLOO,50702,Black Hawk,19572,0.334835957132,101.309473264,253881.54,2506,7.94465682362,19909.31,52,13.9194134078,15.6874670628,33.9956304868,695.565863014
2576,STORM LAKE,50588,Buena Vista,35744,0.334675392562,72.9159821071,546067.79,7489,5.29439978635,39649.76,52,15.8058592602,18.2310058343,24.4766550941,1496.07613699
2578,CHARLES CITY,50616,Floyd,51456,0.334515869426,156.254374017,695175.71,4449,11.8265363003,52616.26,51,14.431220499,15.7782614627,52.3184580805,1904.5909863
2579,GRINNELL,50112,Poweshiek,19825,0.33432278368,91.2958586175,291872.86,3197,6.300925868,20144.06,53,14.9312105099,16.7725657905,30.5095964967,799.651671233
2582,MASON CITY,50401,Cerro Gordo,56258,0.334513496132,108.412309895,681479.78,6286,8.64269487751,54327.98,52,14.3688959593,17.1970670459,36.2843302577,1867.06789041
2584,FORT MADISON,52627,Lee,28888,0.334466251111,90.2922048998,445953.2,4939,6.04822838631,29872.2,53,16.1363474388,18.8080123091,30.1712350678,1221.78958904
2585,ALGONA,50511,Kossuth,47438,0.334632063538,122.184621756,663829.05,5433,9.47492913676,51477.29,52,14.9335615682,17.0671227285,41.0171194552,1818.70972603
2587,JOHNSTON,50131,Polk,50065,0.334468976152,59.8959191732,712881.23,11902,3.99185767098,47511.09,54,15.2990589817,19.3218691873,20.0513661569,1953.09926027
2588,CEDAR RAPIDS,52403,Linn,53522,0.334440938943,136.352398147,853429.66,6259,8.59207381371,53777.79,52,19.4841891676,23.8662188886,45.5986531395,2338.16345205
2590,CEDAR RAPIDS,52402,Linn,85579,0.334245820355,107.254983299,1188063.45,11077,7.21148957299,79881.67,52,15.0033601156,20.6634795076,35.8870443261,3254.96835616
2591,ATLANTIC,50022,Cass,39461,0.334127056677,113.37567317,586945.86,5177,8.19108557079,42405.25,50,14.5062990149,17.5711562095,37.9469113386,1608.07084932
2592,MARSHALLTOWN,50158,Marshall,13898,0.334603377908,87.7498897411,183046.27,2086,7.69531160115,16052.42,51,13.3425790988,15.1528906045,29.3906663471,501.496630137
2593,CARROLL,51401,Carroll,105787,0.334140548978,193.502050555,1638188.36,8466,13.6351500118,115435.18,52,14.9222678951,18.1304755277,64.7439062131,4488.18728767
2594,SIOUX CITY,51106,Woodbury,52692,0.334496666692,104.661996997,766753.79,7326,6.96681681682,51038.9,52,15.5446846847,19.0646217078,35.0125088725,2100.69531507
2595,DENISON,51442,Crawford,55687,0.334241474285,155.426277788,818008.5,5263,11.2323237697,59115.72,53,14.0760440813,18.1145919113,52.2156089683,2241.11917808
2596,OTTUMWA,52501,Wapello,20012,0.334463046809,66.913499467,251059.45,3752,5.09546375267,19118.18,51,12.1799760128,15.0803637264,22.4304264392,687.834109589
2597,CHEROKEE,51012,Cherokee,18276,0.335057100363,146.454466546,242967.96,1659,11.9368836649,19803.29,51,14.8214466546,15.4083326875,49.1816335142,665.665643836
2600,OSKALOOSA,52577,Mahaska,14626,0.334842225842,74.8363117871,177137.55,2367,5.90627376426,13980.15,49,13.5043514998,15.001638401,25.0323193916,485.308356164
2601,FAIRFIELD,52556,Jefferson,40002,0.334117359641,137.326939264,574301.26,4182,9.12709469154,38169.51,52,16.6449808704,19.994442454,45.8722118604,1573.42810959
2602,WEBSTER CITY,50595,Hamilton,35345,0.334362737418,103.766208657,467466.77,4505,7.7544572697,34933.83,52,14.2266770255,18.0646596168,34.7604217536,1280.73087671
2603,BETTENDORF,52722,Scott,87978,0.334469165858,119.705603643,1327654.85,11091,7.58599675412,84136.29,52,17.0564854386,20.9628376736,39.9868794518,3637.41054795
2604,LEMARS,51031,Plymouth,46049,0.334330543512,103.164732884,658500.49,6383,7.43725207583,47471.98,52,14.6729218236,18.6686060641,34.6033448222,1804.11093151
2605,CEDAR RAPIDS,52402,Linn,67781,0.334500430562,124.440792049,826411.3,6641,9.8798900768,65612.35,52,14.0471555489,18.1063539254,41.6839918687,2264.14054795
2606,HUMBOLDT,50548,Humboldt,34927,0.33442972477,121.823564629,486319.67,3992,9.30319388778,37138.35,52,14.6533792585,16.8944955904,40.8443061122,1332.38265753
2607,SHENANDOAH,51601,Page,36280,0.33419220706,133.787461758,516018.24,3857,9.21365050557,35537.05,52,14.6882888255,18.0170578839,44.7063598652,1413.74860274
2609,AMES,50010,Story,7219,0.33435418232,62.6302966432,80229.41,1281,5.18177205308,6637.85,46,13.6612334114,17.2195370334,21.1562997658,219.80660274
2611,OTTUMWA,52501,Wapello,37761,0.334221558843,124.231458445,463383.34,3730,8.55507774799,31910.44,51,14.2408981233,19.0774450768,41.547077748,1269.54339726
2612,PERRY,50220,Dallas,17958,0.334488282804,73.3223536896,230525.48,3144,5.78126590331,18176.3,52,13.7035019084,15.3810896317,24.6607061069,631.576657534
2613,COUNCIL BLUFFS,51501,Pottawattamie,75587,0.33423777482,119.922899726,1005793.36,8387,8.0710230118,67691.67,52,14.5560093001,18.4270932547,40.1006629307,2755.59824658
2614,DAVENPORT,52807,Scott,109065,0.334649268127,150.578953173,1611044.22,10699,10.1250032713,108327.41,52,15.3800158893,inf,50.3450808487,4413.81978082
2616,CLINTON,52732,Clinton,115636,0.334263972767,153.998612548,1578331.78,10249,11.0196516733,112940.41,52,15.4204654113,18.6106670038,51.4318879891,4324.19665753
2618,CEDAR RAPIDS,52402,Linn,24697,0.334518143986,96.6667456967,297636.91,3079,8.17666774927,25175.96,52,12.8518837285,16.4305818515,32.3875251705,815.443589041
2619,WEST DES MOINES,50266,Polk,97425,0.334237955469,160.069253092,1643751.16,10269,9.42171292239,96751.57,62,16.6558798325,21.5198243474,53.4813935145,4503.42783562
2620,WINDSOR HEIGHTS,50311,Polk,60863,0.334591088058,73.4320336289,877806.53,11954,4.85870921867,58081.01,55,15.3579780827,19.0413972627,24.5552275389,2404.94939726
2621,SIOUX CITY,51105,Woodbury,65108,0.334140993912,131.14961041,841587.05,6417,9.31378525791,59766.56,52,15.3374411719,19.0532423097,43.8089558984,2305.71794521
2622,IOWA CITY,52240,Johnson,48816,0.334665675855,129.998740895,749572.74,5766,8.30018036767,47858.84,53,16.283109608,19.2375154372,43.4441935484,2053.62394521
2623,SIOUX CITY,51104,Woodbury,74242,0.333956820216,100.047887485,1052803.92,10523,6.50688776965,68471.98,52,15.5150052266,19.5316969575,33.4178523235,2884.39430137
2624,DUBUQUE,52002,Dubuque,63744,0.334551033662,132.430518382,860930.8,6501,9.5852099677,62313.45,51,15.5128118751,19.5547633697,44.3454176281,2358.71452055
2625,DAVENPORT,52804,Scott,126249,0.33419034939,196.390070487,1922462.4,9789,12.45572275,121929.07,53,15.5298273572,18.8100738134,65.5244131168,5267.02027397
2626,DES MOINES,50311,Polk,85728,0.334348400162,118.857271722,967141.62,8137,8.09288312646,65851.79,73,14.8966732211,19.3655939637,39.7529703822,2649.70306849
2627,DES MOINES,50310,Polk,126072,0.334485129026,138.381165403,948741.27,6856,8.68651837806,59554.77,86,12.5034451575,18.022909946,46.2175087515,2599.29115068
2628,ELDORA,50627,Hardin,12289,0.334086589449,97.9146101061,156957.12,1603,8.34731752963,13380.75,51,13.5341921397,13.8238130886,32.7325389894,430.019506849
2629,COUNCIL BLUFFS,51503,Pottawattamie,106422,0.334132716654,149.08480473,1626217.05,10908,9.29224055739,101359.76,53,16.3746919692,19.8773394833,49.786953612,4455.38917808
2630,WEST DES MOINES,50266,Polk,16282,0.334674768174,134.570083067,210602.18,1565,9.77711182109,15301.18,51,14.9536677316,16.2905706238,44.9972396166,576.992273973
2633,DES MOINES,50320,Polk,595205,0.334117330365,504.377336477,9839393.08,19508,29.878030039,582860.61,124,18.4129685257,21.2209437469,168.245861698,26957.2413151
2635,DAVENPORT,52807,Scott,71955,0.334561282616,147.568465856,1104254.83,7483,8.78393692369,65730.2,52,16.7338741147,20.6362747049,49.313768542,3025.35569863
2636,DES MOINES,50317,Polk,49318,0.334036488634,169.201406955,637381.7,3767,11.9757685161,45112.72,110,14.7919777011,16.6636839807,56.569739846,1746.25123288
2641,COUNCIL BLUFFS,51501,Pottawattamie,35077,0.334066990127,92.5251818762,289973.92,3134,7.5605488194,23694.76,51,12.6500095724,17.4332727659,30.9038417358,794.44909589
2642,PELLA,50219,Marion,42341,0.334303931757,111.480839161,621728.64,5577,7.39098798637,41219.54,52,15.5364981173,17.8168406608,37.2649829658,1703.36613699
2643,WATERLOO,50701,Black Hawk,43354,0.334159480057,107.24351335,706949.24,6592,6.43360588592,42410.33,52,17.3788516383,21.6608566504,35.850617415,1936.84723288
2644,FORT DODGE,50501,Webster,88234,0.334445145194,203.850165915,1265501.83,6208,13.7999774485,85670.26,52,15.6698534149,18.2631081286,68.1836227448,3467.12830137
2647,CEDAR RAPIDS,52411,Linn,64505,0.334455042831,102.297082501,1024198.39,10012,6.44703955254,64547.76,52,16.6855842988,20.7601024165,34.2461556133,2806.0229863
2648,WEST DES MOINES,50265,Polk,96840,0.334384362209,137.727697374,1631109.12,11843,8.01794477751,94956.52,64,17.7376627544,22.4061868081,46.0017090264,4468.79210959
2649,DUBUQUE,52001,Dubuque,44224,0.334731404371,80.3827615335,618545.35,7695,6.2553554256,48134.96,52,15.501454191,17.0384526619,26.9316699155,1694.64479452
2651,WAVERLY,50677,Bremer,58419,0.334441596596,108.068154138,855359.44,7915,7.77268351232,61520.79,52,15.444855338,18.8296744953,36.216199621,2343.45052055
2652,MASON CITY,50401,Cerro Gordo,36164,0.334401513855,110.904387902,462027.68,4166,8.75192030725,36460.5,52,15.3492630821,17.4107517763,37.1569323092,1265.82926027
2653,WASHINGTON,52353,Washington,26978,0.334258400213,100.094086338,408083.59,4077,6.79288937945,27694.61,52,15.9407726269,19.3242602815,33.5548344371,1118.03723288
2655,CLARINDA,51632,Page,10128,0.334864934462,99.2955355805,132559.54,1335,7.68249438202,10256.13,50,14.2014756554,15.5405733012,33.223011236,363.176821918
2656,CORNING,51632,Clayton,7401,0.334236933473,62.2903075957,99228.46,1593,4.38545511613,6986.03,49,14.6320087884,16.5528719679,20.8197112367,271.858794521
2657,BEDFORD,50833,Taylor,4607,0.334135413081,47.5731428571,58277.1,1225,3.60671020408,4418.22,51,13.5748734694,16.5923865838,15.8903673469,159.663287671
2658,MOUNT AYR,50854,Ringgold,3350,0.335274264,105.977905882,45040.61,425,8.45364705882,3592.8,36,14.2052470588,14.5860896359,35.4949411765,123.398931507
2660,SIOUX CENTER,51250,Sioux,13437,0.334191378411,77.9119169207,204440.87,2624,5.21488185976,13683.85,51,15.0600114329,16.7128494569,26.0287842988,560.111972603
2661,SHELDON,51201,O'Brien,30501,0.334566371053,110.55984492,413493.82,3740,8.40056149733,31418.1,51,13.4846176471,16.7378437406,37.0314331551,1132.85978082
2662,MUSCATINE,52761,Muscatine,37877,0.334081957805,87.2390287628,442825.31,5076,6.84136327817,34726.76,51,13.3963278172,17.1469947178,29.1820981087,1213.2200274
2663,URBANDALE,50322,Polk,97111,0.334761174445,216.822930023,1589528.9,7331,12.5099672623,91710.57,56,20.0281571409,22.3826935959,72.4642572637,4354.87369863
2665,WAUKEE,50263,Dallas,91670,0.334444864467,156.00900113,1380679.66,8850,9.0148700565,79781.6,117,16.2344033898,20.3278781505,52.1879774011,3782.684
2666,ANKENY,50023,Polk,78168,0.334548520013,122.417998078,1273759.27,10405,7.20036424796,74919.79,62,20.477748198,25.3980351681,40.9748793849,3489.75142466
2667,SIOUX CITY,51104,Woodbury,8814,0.334610075144,71.2168967742,110386.19,1550,5.77809677419,8956.05,52,14.4033483871,15.4746961598,23.8230645161,302.427917808
2668,LEON,50144,Decatur,3223,0.334462828897,72.1182108626,45146.0,626,4.94129392971,3093.25,20,14.7674760383,16.4441077134,24.1203833866,123.687671233
2669,CORYDON,50060,Wayne,6130,0.334698198386,79.6844131455,84863.9,1065,6.00045070423,6390.48,46,15.5489295775,15.4169878217,26.6531361502,232.503835616
2670,CORALVILLE,52241,Johnson,156510,0.334384274699,194.825450268,2401418.5,12326,11.9971174753,147876.47,100,16.3308177835,19.6474277395,65.067257829,6579.22876712
2806,CLINTON,52732,Clinton,32552,0.334430587816,110.058293269,412058.25,3744,8.56422809829,32064.47,52,13.3920405983,15.8158355018,36.8113087607,1128.92671233
2835,CEDAR FALLS,50613,Black Hawk,6852,0.334329682719,104.883186925,102680.64,979,8.62268641471,8441.61,44,16.2860674157,14.6259649059,35.087834525,281.316821918
2836,WATERLOO,50703,Black Hawk,1683,0.334933427682,53.3330673317,21386.56,401,4.83114713217,1937.29,19,13.8996009975,13.9811037313,17.9033416459,58.5933150685
2837,WATERLOO,50702,Black Hawk,5725,0.334397588266,114.09742681,74049.23,649,10.2701848998,6665.35,30,14.0668412943,14.2670376892,38.2349306626,202.87460274
2838,DAVENPORT,52806,Scott,4470,0.334223135053,125.55958159,60017.48,478,12.5816945607,6014.05,27,15.7352301255,14.8217057681,41.9222384937,164.431452055
2839,DAVENPORT,52804,Scott,4162,0.334170416289,152.280351906,51927.6,341,16.0599706745,5476.45,30,14.5608211144,14.2322259911,50.8491202346,142.26739726
2840,BETTENDORF,52722,Scott,8414,0.334332184717,108.584927386,104675.87,964,11.8677385892,11440.5,49,15.9010373444,16.0969788579,36.282033195,286.783205479
2841,CEDAR RAPIDS,52403,Linn,7468,0.334562659252,118.57175737,104580.29,882,10.2945011338,9079.75,41,15.0551473923,13.6939272217,39.7768253968,286.521342466
2843,CEDAR RAPIDS,52402,Linn,6368,0.33423700775,49.2596608253,87140.34,1769,4.17606557377,7387.46,48,15.5437365743,16.2468318833,16.4770435274,238.740657534
2844,IOWA CITY,52240,Johnson,6842,0.334291267662,105.954810127,83704.3,790,9.36189873418,7395.9,45,14.5066962025,14.2122866184,35.4246202532,229.326849315
2846,CEDAR RAPIDS,52404,Linn,5736,0.33445066036,60.543011745,72167.27,1192,5.3244966443,6346.8,50,14.7338338926,15.0426608039,20.2525251678,197.718547945
2850,DES MOINES,50313,Polk,3975,0.334460228046,77.9169814503,46204.77,593,6.13912310287,3640.5,33,13.9628330523,15.4133228941,26.0607419899,126.588410959
2851,FORT DODGE,50501,Webster,3447,0.334802737468,100.28107438,48536.04,484,8.47737603306,4103.05,28,15.0856818182,14.5946303129,33.6023140496,132.975452055
