Store Number,City,Zip Code,County,Q1_16 Total Bottles Sold,Q1_16 Average Margin Ratio,Q1_16 Average Sale (Dollars),Q1_16 Total Sales (Dollars),Q1_16 Total Transactions,Q1_16 Average Volume per Sale (Liters),Q1_16 Total Volume Sold (Liters),Q1_16 DaysOpen,Q1_16 Average Price per Bottle (Dollars),Q1_16 Average Price per Liter (Dollars),Q1_16 Average Margin,Q1_16 Average Sales per Day
2582,MASON CITY,50401,Cerro Gordo,13195,0.334005515616,122.373374013,170466.11,1393,9.47020100503,13191.99,13,15.3748743719,18.2504164636,40.8970423546,1873.25395604
2584,FORT MADISON,52627,Lee,6182,0.333712228753,115.531472393,94158.15,815,7.9094601227,6446.21,13,18.6447607362,20.4158387995,38.5492760736,1034.70494505
2585,ALGONA,50511,Kossuth,10240,0.333995353697,112.824216478,139676.38,1238,8.71150242326,10784.84,13,14.9406623586,17.4838023423,37.7662116317,1534.90527473
2587,JOHNSTON,50131,Polk,12547,0.333802918007,57.4880013713,167692.5,2917,3.95207404868,11528.2,14,15.152519712,19.5276204693,19.2096674666,1842.77472527
2588,CEDAR RAPIDS,52403,Linn,11714,0.333833846629,124.738298755,180371.58,1446,8.14766251729,11781.52,13,16.7664937759,20.1224043383,41.6309128631,1982.10527473
2590,CEDAR RAPIDS,52402,Linn,20378,0.333739174986,110.372717873,298889.32,2708,7.04723042836,19083.9,13,16.8633419498,19.4320023169,36.8473522895,3284.49802198
2591,ATLANTIC,50022,Cass,9415,0.333771833003,114.613510274,133868.58,1168,8.53655821918,9970.7,13,14.5685958904,17.6031684198,38.3678767123,1471.0832967
2592,MARSHALLTOWN,50158,Marshall,3120,0.33437080263,87.1688418708,39138.81,449,9.27316258352,4163.65,13,12.9021603563,14.5931925567,29.4287750557,430.096813187
2593,CARROLL,51401,Carroll,23018,0.333711459396,196.931009174,343447.68,1744,13.3052178899,23204.3,13,15.8410149083,18.1812339178,65.6891571101,3774.15032967
2594,SIOUX CITY,51106,Woodbury,12591,0.333813636299,116.447982937,191091.14,1641,7.54589274832,12382.81,13,15.4785679464,18.3834281163,38.8774466789,2099.90263736
2595,DENISON,51442,Crawford,13485,0.333794451377,147.783896,184729.87,1250,11.360296,14200.37,13,14.29236,18.4902355303,49.644264,2029.99857143
2596,OTTUMWA,52501,Wapello,3505,0.333792345397,44.1562707838,37179.58,842,3.64473871734,3068.87,12,11.8931235154,15.3895708541,14.7405938242,408.566813187
2597,CHEROKEE,51012,Cherokee,2868,0.334110980148,120.240299401,40160.26,334,9.45329341317,3157.4,13,15.7202095808,16.0916937553,40.3059281437,441.321538462
2600,OSKALOOSA,52577,Mahaska,3643,0.334008171624,99.9291707317,40970.96,410,8.14365853659,3338.9,13,14.1877317073,15.8083507549,33.3680487805,450.23032967
2601,FAIRFIELD,52556,Jefferson,9844,0.333814734804,132.17061284,135871.39,1028,9.33298638132,9594.31,13,15.6914980545,19.3061978015,44.1782003891,1493.0921978
2602,WEBSTER CITY,50595,Hamilton,7174,0.333748607699,73.2778531965,92843.04,1267,5.51659826361,6989.53,13,13.3478531965,17.4613347755,24.5609629045,1020.25318681
2603,BETTENDORF,52722,Scott,19479,0.333888608935,107.565879141,295483.47,2747,6.94634146341,19081.6,13,16.9576265016,21.3042334066,35.8893738624,3247.0710989
2604,LEMARS,51031,Plymouth,9869,0.333868257037,79.3050425791,130377.49,1644,5.97046836983,9815.45,12,14.1447931873,18.4816748206,26.496593674,1432.71967033
2605,CEDAR RAPIDS,52402,Linn,16265,0.333734814034,120.920846926,192747.83,1594,9.43352572146,15037.04,13,14.477327478,18.377074623,40.4371769134,2118.10802198
2606,HUMBOLDT,50548,Humboldt,7984,0.33389202443,113.244694989,103958.63,918,9.05726579521,8314.57,13,14.6477668845,16.7731935367,37.9489869281,1142.40252747
2607,SHENANDOAH,51601,Page,7959,0.333614954469,110.887635417,106452.13,960,7.98819791667,7668.67,13,14.9773333333,17.6089471593,36.9901041667,1169.80362637
2609,AMES,50010,Story,1329,0.334461109817,49.9227822581,12380.85,248,3.85362903226,955.7,11,13.369233871,16.5078393817,16.6877419355,136.053296703
2611,OTTUMWA,52501,Wapello,8374,0.333801340268,104.922734375,94010.77,896,7.77311383929,6964.71,13,12.9327008929,18.4233122077,35.03328125,1033.08538462
2612,PERRY,50220,Dallas,4084,0.33379137701,74.3868821839,51773.27,696,6.43397988506,4478.05,13,13.9586637931,15.2391030378,25.0310344828,568.937032967
2613,COUNCIL BLUFFS,51501,Pottawattamie,18795,0.333891925784,112.847254079,242057.36,2145,7.75724941725,16639.3,13,14.3535431235,18.511988234,37.6615291375,2659.97098901
2614,DAVENPORT,52807,Scott,25701,0.333811950264,150.335868149,392226.28,2609,9.9291414335,25905.13,13,15.2992755845,19.5154612641,50.1447987735,4310.1789011
2616,CLINTON,52732,Clinton,26789,0.333755131477,155.416318889,369424.59,2377,10.8244804375,25729.79,13,15.4506562894,18.7076304055,51.8419310055,4059.61087912
2618,CEDAR RAPIDS,52402,Linn,6615,0.333960418241,94.8655642023,73141.35,771,8.59998702983,6630.59,13,12.5098962387,16.3967565755,31.7605447471,803.751098901
2619,WEST DES MOINES,50266,Polk,18548,0.333910321903,126.486974935,292690.86,2314,7.97631374244,18457.19,16,16.2668150389,20.8213227062,42.2119706137,3216.38307692
2620,WINDSOR HEIGHTS,50311,Polk,11911,0.333799111825,77.8784758028,172189.31,2211,5.0497195839,11164.93,13,16.7459158752,20.3488286278,25.9813071009,1892.19021978
2621,SIOUX CITY,51105,Woodbury,15795,0.333817393996,125.241780415,211032.4,1685,8.70575667656,14669.2,13,15.3784569733,18.9295270484,41.7988486647,2319.03736264
2622,IOWA CITY,52240,Johnson,11431,0.333834470373,131.630338462,171119.44,1300,8.3854,10901.02,13,16.7099615385,20.299172344,43.9400230769,1880.43340659
2623,SIOUX CITY,51104,Woodbury,14450,0.3336692137,86.082482906,201433.01,2340,5.76205555556,13483.21,13,15.4707094017,19.4632203799,28.7160854701,2213.54956044
2624,DUBUQUE,52002,Dubuque,15505,0.33405465154,136.555445882,200599.95,1469,9.62282505106,14135.93,13,16.1568073519,19.9211400107,45.620483322,2204.39505495
2625,DAVENPORT,52804,Scott,31120,0.33364714191,214.708949977,476439.16,2219,13.5338666066,30031.65,13,15.3291843173,18.4822507457,71.6002118071,5235.59516484
2626,DES MOINES,50311,Polk,19786,0.333766170005,107.28517207,215106.77,2005,7.28135660848,14599.12,17,14.7232718204,19.5361089354,35.7999850374,2363.81065934
2627,DES MOINES,50310,Polk,28110,0.333879946292,111.248527974,204808.54,1841,7.19582835416,13247.52,29,12.8865181966,18.6843653063,37.1231178707,2250.6432967
2628,ELDORA,50627,Hardin,3163,0.334181353019,116.488215385,37858.67,325,10.0792307692,3275.75,13,12.9768,13.2010095238,38.9415384615,416.029340659
2629,COUNCIL BLUFFS,51503,Pottawattamie,24228,0.333673277629,149.352649239,382790.84,2563,9.0717869684,23250.99,13,16.0704018728,19.4895998096,49.8173936793,4206.49274725
2630,WEST DES MOINES,50266,Polk,4090,0.33423787768,159.814821918,58332.41,365,11.7568493151,4291.25,13,15.7229589041,16.822035225,53.3914794521,641.015494505
2633,DES MOINES,50320,Polk,149219,0.333558726481,506.059067937,2443253.18,4828,30.1582953604,145604.25,31,18.109413836,20.9141441022,168.765896852,26848.936044
2635,DAVENPORT,52807,Scott,13546,0.333766753702,131.240533584,209066.17,1593,8.04155681105,12810.2,13,17.5234400502,21.346984949,43.7843126177,2297.43043956
2636,DES MOINES,50317,Polk,11952,0.3336940399,153.167474972,137697.56,899,10.2078197998,9176.83,29,14.5574304783,17.1520140159,51.0928476085,1513.16
2641,COUNCIL BLUFFS,51501,Pottawattamie,9042,0.33368932482,90.2242255266,72810.95,807,7.22638166047,5831.69,13,10.5526889715,15.5407151708,30.0952292441,800.12032967
2642,PELLA,50219,Marion,10254,0.333685824097,120.067156937,158368.58,1319,7.56691432904,9980.76,13,16.0771493556,18.4779676542,40.0678847612,1740.31406593
2643,WATERLOO,50701,Black Hawk,9165,0.333770797741,86.8097281993,153305.98,1766,4.95638165345,8752.97,13,16.8962231031,21.2959883321,28.9778029445,1684.6810989
2644,FORT DODGE,50501,Webster,20110,0.333756669677,198.899195323,289199.43,1454,13.6872420908,19901.25,13,16.2416024759,18.5512707965,66.4516162311,3178.01571429
2647,CEDAR RAPIDS,52411,Linn,15049,0.333719980603,110.744281781,241311.79,2179,6.93283616338,15106.65,13,16.3212574575,20.372374709,36.9654703993,2651.77791209
2648,WEST DES MOINES,50265,Polk,21240,0.33371098228,124.207324403,343060.63,2762,7.45535481535,20591.69,14,17.8902136133,22.5965763224,41.4369406227,3769.89703297
2649,DUBUQUE,52001,Dubuque,9173,0.333743520063,75.7220447849,128500.31,1697,5.7726222746,9796.14,13,15.4703417796,17.2213627801,25.293730112,1412.09131868
2651,WAVERLY,50677,Bremer,13619,0.333670568279,98.737536157,191155.87,1936,7.67898243802,14866.51,13,15.4473915289,19.185171848,33.0216683884,2100.61395604
2652,MASON CITY,50401,Cerro Gordo,8806,0.3340382667,104.814297832,111207.97,1061,8.4758529689,8992.88,13,14.8670499529,16.8519064627,34.9889820924,1222.0656044
2653,WASHINGTON,52353,Washington,6311,0.333919238425,91.9510584344,83399.61,907,7.04830209482,6392.81,13,15.6868798236,18.8999614042,30.8965931643,916.479230769
